id	rank	name	authorship
7027308	Subspecies	Verbascum thapsus subsp. thapsus	
2920526	Species	Verbascum virgatum	Stokes
2913057	Genus	Zaluzianskya	F.W.Schmidt
2918350	Species	Zaluzianskya divaricata	(Thunb.) Walp.
2906046	Familia	Tetrachondraceae	Wettst.
2902207	Genus	Polypremum	L.
2903036	Species	Polypremum procumbens	L.
51294587	Familia	Verbenaceae	J.St.-Hil.
2891949	Genus	Citharexylum	L.
2907371	Species	Citharexylum spinosum	L.
2892979	Genus	Duranta	L.
2896039	Species	Duranta erecta	L.
2917063	Genus	Glandularia	J.F.Gmel.
2898161	Species	Glandularia aristigera	(S.Moore) Tronc.
8008251	Genus	Lantana	L.
8008245	Species	Lantana camara	L.
2894994	Species	Lantana montevidensis	(Spreng.) Briq.
2904531	Genus	Lippia	L.
2893300	Species	Lippia alba	(Mill.) N.E.Br. ex Britton & P.Wilson
2914681	Varietas	Lippia alba var. alba	
2892182	Genus	Phyla	Lour.
2886927	Species	Phyla canescens	(Kunth) Greene
2907374	Species	Phyla nodiflora	(L.) Greene
2895214	Varietas	Phyla nodiflora var. nodiflora	
2889722	Genus	Stachytarpheta	Vahl
2886474	Species	Stachytarpheta australis	Moldenke
2901782	Species	Stachytarpheta cayennensis	(Rich.) Vahl
2904988	Species	Stachytarpheta jamaicensis	(L.) Vahl
2899292	Species	Stachytarpheta mutabilis	(Jacq.) Vahl
2909407	Species	Stachytarpheta x adulterina	Urb. & Ekman
2916718	Species	Stachytarpheta x trimenii	Rech.
51294589	Genus	Verbena	L.
2890644	Species	Verbena africana	(R.Fern. & Verdc.) P.W.Michael
2897829	Species	Verbena bonariensis	L.
2896997	Species	Verbena caracasana	Kunth
51294591	Species	Verbena gaudichaudii	(Briq.) P.W.Michael
2888849	Species	Verbena hispida	Ruiz & Pav.
2890745	Species	Verbena incompta	P.W.Michael
2898876	Species	Verbena litoralis	Kunth
2915446	Species	Verbena macrostachya	F.Muell.
51294588	Species	Verbena officinalis	L.
2910543	Varietas	Verbena officinalis var. monticola	Munir
2910742	Varietas	Verbena officinalis var. officinalis	
2891570	Species	Verbena quadrangularis	Vell.
2905812	Species	Verbena rigida	Spreng.
2892702	Species	Verbena supina	L.
2902349	Varietas	Verbena supina var. erecta	(Moldenke) Munir
2917536	Varietas	Verbena supina var. supina	
2905734	Species	Verbena x brasiliensis	Vell.
51303943	Ordo	Solanales	Juss. ex Bercht. & J.Presl
51298268	Familia	Convolvulaceae	Juss.
2895507	Genus	Aniseia	Choisy
2912415	Species	Aniseia martinicensis	(Jacq.) Choisy
6723014	Genus	Argyreia	Lour.
2920649	Species	Argyreia nervosa	(Burm.f.) Bojer
51270651	Genus	Bonamia	Thouars
2892365	Species	Bonamia alatisemina	R.W.Johnson
2911514	Species	Bonamia brevifolia	(Benth.) Myint
2901937	Species	Bonamia deserticola	R.W.Johnson
2912293	Species	Bonamia dietrichiana	Hallier f.
51270649	Species	Bonamia erecta	R.W.Johnson
51270655	Species	Bonamia fruticosa	R.W.Johnson
2889778	Species	Bonamia linearis	(R.Br.) Hallier f.
51270657	Species	Bonamia longipilosa	R.W.Johnson
51270668	Species	Bonamia media	(R.Br.) Hallier f.
2897606	Varietas	Bonamia media var. media	
2892832	Varietas	Bonamia media var. villosa	(Benth.) Myint
51270670	Species	Bonamia multiflora	R.W.Johnson
2919171	Species	Bonamia oblongifolia	Myint
2903147	Species	Bonamia pannosa	(R.Br.) Hallier f.
51270672	Species	Bonamia pilbarensis	R.W.Johnson
2901669	Species	Bonamia rosea	(F.Muell.) Hallier f.
2903124	Species	Bonamia sp. Croydon (K.R.McDonald KRM4000)	Qld Herbarium
51270674	Species	Bonamia toniae	R.W.Johnson
51270676	Species	Bonamia wilsoniae	R.W.Johnson
2909073	Genus	Calystegia	R.Br.
2891292	Species	Calystegia affinis	Endl.
2889788	Species	Calystegia marginata	R.Br.
2893607	Species	Calystegia sepium	(L.) R.Br.
